subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
D95,devprop,F01,famous,C,76,1728,FALSE,s014,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D96,devprop,F01,famous,C,5,4550,TRUE,s015,<undefined>,<undefined>,<undefined>,<undefined>,-0.055843,<undefined>,-0.035706,<undefined>,-0.29545,0.14124,-0.28409,-0.29545,-0.17678,<undefined>,<undefined>
D06,devprop,F01,famous,D,94,3700,FALSE,s001,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D08,devprop,F01,famous,D,144,1689,FALSE,s002,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D13,devprop,F01,famous,D,1,1530,FALSE,s003,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D14,devprop,F01,famous,D,124,1104,FALSE,s004,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D15,devprop,F01,famous,D,98,1487,FALSE,s005,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D16,devprop,F01,famous,D,39,4961,FALSE,s006,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D17,devprop,F01,famous,D,78,2651,TRUE,s007,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.030612,<undefined>,-0.16647,-0.18367,<undefined>,<undefined>,0.2449
D18,devprop,F01,famous,D,71,2575,FALSE,s008,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D90,devprop,F01,famous,D,23,1213,TRUE,s009,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.030612,<undefined>,<undefined>,<undefined>,0.27273,-0.4727,<undefined>,<undefined>,0.19062
D91,devprop,F01,famous,D,26,1615,FALSE,s010,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D92,devprop,F01,famous,D,127,1059,TRUE,s011,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.16647,<undefined>,0.27273,<undefined>,<undefined>,-0.46664,<undefined>,<undefined>,-0.042857
D93,devprop,F01,famous,D,143,926,TRUE,s012,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.18367,<undefined>,-0.4727,<undefined>,-0.46664,<undefined>,<undefined>,<undefined>,-0.35672
D94,devprop,F01,famous,D,134,860,FALSE,s013,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D95,devprop,F01,famous,D,48,2133,FALSE,s014,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
D96,devprop,F01,famous,D,24,1898,TRUE,s015,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.2449,<undefined>,0.19062,<undefined>,-0.042857,-0.35672,<undefined>,<undefined>,<undefined>
D06,devprop,F02,famous,A,14,2132,TRUE,s001,<undefined>,-0.17678,-0.14435,<undefined>,0.14551,-0.21051,<undefined>,-0.1201,-0.078947,<undefined>,-0.050374,-0.17067,-0.025928,0.19098,0.14325
D08,devprop,F02,famous,A,24,5031,TRUE,s002,-0.17678,<undefined>,-0.15446,<undefined>,-0.19271,-0.089282,<undefined>,0.10938,-0.3125,<undefined>,-0.23438,-0.24821,-0.23438,-0.15104,-0.025148
