subj,ability,face,fame,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015
S14,super,N10,novel,D,48,754,TRUE,s011,0.45238,0.088235,0.26923,0.375,0.43333,<undefined>,0.48483,-0.19874,0,-0.21429,<undefined>,0.083606,0.37541,0.4269,-0.19265
S15,super,N10,novel,D,129,1527,TRUE,s012,0.45715,0.44161,0.35185,0.127,0.074074,<undefined>,0.35185,-0.2185,-0.082107,-0.061835,0.083606,<undefined>,0.35185,0.37037,0.029412
S17,super,N10,novel,D,97,1217,TRUE,s013,0.54762,0.17647,0.26923,0.37541,0.30556,<undefined>,0.77778,0.01119,-0.14563,-0.17143,0.37541,0.35185,<undefined>,0.63889,-0.1208
S90,super,N10,novel,D,150,951,TRUE,s014,0.61905,0.19118,0.34945,0.46136,0.41176,<undefined>,0.79412,-0.20247,-0.059913,-0.18449,0.4269,0.37037,0.63889,<undefined>,-0.19713
S91,super,N10,novel,D,97,1733,TRUE,s015,-0.18039,-0.015475,-0.11387,-0.037955,-0.31429,<undefined>,-0.21141,0.13102,0.29643,0.077556,-0.19265,0.029412,-0.1208,-0.19713,<undefined>
S01,super,N11,novel,A,123,1488,TRUE,s001,<undefined>,0.16667,0.24129,-0.24918,-0.32961,0.44762,0.33333,0.18255,-0.15024,-0.22694,0.33333,0.19154,0.11111,0.22222,0.16667
S02,super,N11,novel,A,95,599,TRUE,s002,0.16667,<undefined>,0.23913,-0.17518,-0.21046,0.5,0.7,0.39474,-0.0039482,-0.20388,0.7,0.7,0.5,0.5,0.2
S03,super,N11,novel,A,75,1281,TRUE,s003,0.24129,0.23913,<undefined>,0.086957,0.20684,0.35156,0.30435,0.52174,0.21057,-0.18073,0.30435,0.28634,0.068947,0.22485,0.15217
S04,super,N11,novel,A,44,1105,TRUE,s004,-0.24918,-0.17518,0.086957,<undefined>,-0.10526,-0.17892,-0.16164,0.12332,0.0045151,-0.15909,-0.16164,0.039861,-0.20524,-0.065402,-0.29069
S07,super,N11,novel,A,54,900,TRUE,s005,-0.32961,-0.21046,0.20684,-0.10526,<undefined>,-0.24442,-0.1933,0.18873,0.083333,-0.11364,-0.1933,-0.23235,-0.1933,-0.27393,0.21287
