fame,ability,face,subj,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060
novel,super,N02,S14,B,156,805,TRUE,s042,0.16667,<undefined>,0.14451,0.07784,0.6847,<undefined>,0.4286,0.4,-0.0625,<undefined>,0.375,0.33787,0.66667,<undefined>,0.33333,0.20588,0.0040851,<undefined>,0.26838,0.32143,0.38197,<undefined>,0.47411,0.54733,0.48573,<undefined>,0.54733,0.38197,0.33787,<undefined>,0.29797,0.53083,0.33787,<undefined>,0.071429,0.26226,-0.0025381,<undefined>,-0.19497,-0.12745,<undefined>,<undefined>,<undefined>,<undefined>,0.69695,<undefined>,0.28571,0.54733,-0.038748,<undefined>,-0.13158,-0.18006,0.48573,<undefined>,0.5781,0.5781,-0.26332,<undefined>,-0.059504,-0.28225
novel,super,N02,S14,C,78,692,TRUE,s043,0.06191,0.16328,<undefined>,-0.019692,0.48267,<undefined>,<undefined>,0.5,-0.0625,-0.1,<undefined>,0.19645,0.66667,0,<undefined>,0.088235,-0.046918,0.53571,<undefined>,0.17857,0.2331,-0.031863,<undefined>,0.37056,0.31935,0.2331,<undefined>,0.2331,0.19645,0.16328,<undefined>,0.60526,0.42929,0.012419,<undefined>,0.17857,0.098477,-0.0082555,<undefined>,-0.018665,<undefined>,<undefined>,<undefined>,<undefined>,0.49492,0.41124,<undefined>,0.37056,0.095939,-0.13345,<undefined>,-0.11428,0.31935,0.14365,<undefined>,0.38954,-0.14034,-0.11538,<undefined>,-0.16912
novel,super,N02,S14,D,126,695,TRUE,s044,0.27778,0.5,0.30769,<undefined>,0.78571,<undefined>,0.14575,<undefined>,-0.0625,0.025,0.33333,<undefined>,0.43096,0.1875,0.12064,<undefined>,0.087769,0.10207,0.16737,<undefined>,0.60526,0.19231,0.63572,<undefined>,0.73529,0.60526,0.8125,<undefined>,0.55,0.5,0.5,<undefined>,0.20858,-0.41993,-0.035714,<undefined>,-0.15406,-0.34959,-0.40711,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,1,0.85714,0.28571,<undefined>,-0.18161,0.052632,-0.13158,<undefined>,0.73529,0.44444,0.80572,<undefined>,-0.32481,0.076923,-0.22617,<undefined>
novel,super,N02,S15,A,80,963,TRUE,s045,<undefined>,0.5,0.30769,0.22414,<undefined>,<undefined>,0.14575,0.25,<undefined>,0.025,0.33333,0.55,<undefined>,0.1875,0.12064,0.38235,<undefined>,0.10207,0.16737,0.40511,<undefined>,0.19231,0.63572,0.8125,<undefined>,0.60526,0.8125,0.60526,<undefined>,0.5,0.5,0.60526,<undefined>,-0.41993,-0.035714,0.34594,<undefined>,-0.34959,-0.40711,-0.29063,<undefined>,0.69695,0.49492,1,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.052632,-0.13158,-0.27873,<undefined>,0.44444,0.80572,0.83333,<undefined>,0.076923,-0.22617,-0.22569
novel,super,N02,S15,B,150,848,TRUE,s046,0.27778,<undefined>,0.23077,0.15517,0.78571,<undefined>,0.20098,0.35,-0.10417,<undefined>,0.25,0.45,0.36588,<undefined>,0.055556,0.29916,0.12722,<undefined>,0.083684,0.36327,0.5,<undefined>,0.5625,0.6875,0.61765,<undefined>,0.6875,0.5,0.45,<undefined>,0.40476,0.5,0.15,<undefined>,-0.10714,0.31635,-0.1959,<undefined>,-0.42782,-0.33569,0.33362,<undefined>,0.41124,0.85714,<undefined>,<undefined>,<undefined>,<undefined>,-0.23739,<undefined>,-0.13158,-0.28836,0.61765,<undefined>,0.7,0.7,-0.28879,<undefined>,-0.27219,-0.19255
novel,super,N02,S15,C,59,758,TRUE,s047,-0.092593,0.02381,<undefined>,-0.12069,0.41667,<undefined>,<undefined>,0.0085786,-0.1875,-0.225,<undefined>,0.05,0.11111,0.0625,<undefined>,0.098328,0.16667,0.045455,<undefined>,0.25057,0.078947,-0.076923,<undefined>,0.1875,0.14706,0.078947,<undefined>,0.078947,0.05,0.02381,<undefined>,0.078947,-0.05,-0.33235,<undefined>,0.42308,-0.25,-0.15712,<undefined>,-0.39395,0.14706,0.28571,<undefined>,0.28571,<undefined>,<undefined>,<undefined>,<undefined>,-0.30952,-0.21053,<undefined>,-0.20731,0.14706,0.11111,<undefined>,0.23333,-0.26769,-0.076923,<undefined>,-0.17314
novel,super,N02,S15,D,51,907,TRUE,s048,0.38889,0.64286,0.42308,<undefined>,0.625,<undefined>,0.11075,<undefined>,0,0.1,0.375,<undefined>,0.4405,0.25,0.13017,<undefined>,0.095939,0.026808,0.083947,<undefined>,0.76316,0.23077,0.64645,<undefined>,0.91176,0.68873,1,<undefined>,0.7,0.59524,0.64286,<undefined>,0.21716,-0.41958,0,<undefined>,-0.14793,-0.34056,-0.45711,<undefined>,0.41263,0.54733,0.37056,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.17344,0.13158,-0.11404,<undefined>,0.67647,0.5,0.72947,<undefined>,-0.31735,0.099453,-0.21664,<undefined>
novel,super,N02,S17,A,153,1376,TRUE,s049,<undefined>,-0.15301,0.039028,-0.24873,<undefined>,<undefined>,0.055789,0.11566,<undefined>,-0.19105,0.22324,-0.26867,<undefined>,0.0040851,-0.015639,-0.4204,<undefined>,0.10341,-0.13877,-0.22175,<undefined>,-0.30713,-0.10609,-0.17344,<undefined>,-0.23331,-0.17344,-0.16118,<undefined>,-0.13807,-0.15301,0.14764,<undefined>,0.095238,0.089286,-0.031279,<undefined>,0.14286,0.02381,0.096154,<undefined>,-0.038748,0.095939,-0.18161,<undefined>,-0.23739,-0.30952,-0.17344,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.16188,-0.23331,-0.082282,<undefined>,-0.067025,0.2898,0.15029
novel,super,N02,S17,B,107,2875,TRUE,s050,0.43421,<undefined>,0.18873,0.43873,-0.026316,<undefined>,-0.17292,-0.0018702,0.14078,<undefined>,0.092493,0.18421,-0.049987,<undefined>,-0.19698,-0.065789,-0.06766,<undefined>,-0.25413,-0.16654,0.25,<undefined>,-0.017286,0.13158,0.13384,<undefined>,0.13158,0.25,0.28947,<undefined>,0.32895,0.063919,-0.080818,<undefined>,-0.082688,-0.14022,-0.16351,<undefined>,-0.14435,-0.25974,-0.10488,<undefined>,-0.13345,0.052632,0.052632,<undefined>,-0.21053,0.13158,<undefined>,<undefined>,<undefined>,<undefined>,0.028573,<undefined>,0.017673,0.039474,-0.24923,<undefined>,-0.26954,-0.17028
novel,super,N02,S17,C,23,3581,TRUE,s051,0.010277,-0.070175,<undefined>,-0.021801,-0.18421,<undefined>,<undefined>,0.0087719,0.089224,-0.097738,<undefined>,-0.10801,-0.061404,-0.22657,<undefined>,-0.15789,-0.19298,-0.24561,<undefined>,-0.17544,-0.087719,-0.14611,<undefined>,-0.11404,-0.087719,-0.070175,<undefined>,-0.087719,-0.078947,-0.14762,<undefined>,-0.10526,-0.13158,-0.24561,<undefined>,-0.15789,-0.010019,-0.14461,<undefined>,-0.14009,-0.12281,-0.13158,<undefined>,-0.13158,-0.13158,-0.13158,<undefined>,-0.11404,<undefined>,<undefined>,<undefined>,<undefined>,-0.10526,-0.096491,<undefined>,-0.10526,-0.14035,-0.16667,<undefined>,-0.15789
