fame,ability,face,subj,angle,trial,rt,acc,sq,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,s036,s037,s038,s039,s040,s041,s042,s043,s044,s045,s046,s047,s048,s049,s050,s051,s052,s053,s054,s055,s056,s057,s058,s059,s060
famous,devprop,F09,D06,A,126,4805,FALSE,s001,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>
famous,devprop,F09,D06,B,99,2709,TRUE,s002,<undefined>,<undefined>,<undefined>,<undefined>,0.07793,<undefined>,-0.074634,-0.091855,-0.060049,<undefined>,0.061052,-0.034091,0.054005,<undefined>,-0.052919,0.11559,-0.011364,<undefined>,-0.034091,-0.27273,0.074031,<undefined>,-0.011364,-0.071129,<undefined>,<undefined>,0.06962,0.042861,-0.1685,<undefined>,0.15163,0.23541,-0.22532,<undefined>,-0.26136,-0.35227,<undefined>,<undefined>,0.074031,-0.13051,<undefined>,<undefined>,<undefined>,0.058768,-0.19318,<undefined>,0,-0.43182,-0.20811,<undefined>,-0.10032,-0.11364,0.047541,<undefined>,0.1919,0.23312,-0.071747,<undefined>,-0.011364,-0.0084295
famous,devprop,F09,D06,C,45,2916,TRUE,s003,<undefined>,<undefined>,<undefined>,<undefined>,0.018868,-0.044863,<undefined>,-0.083009,0.10539,-0.16819,<undefined>,-0.22642,-0.033898,0.036395,<undefined>,0.11644,0.037736,-0.04717,<undefined>,0.066038,-0.19649,-0.10377,<undefined>,-0.032884,<undefined>,-0.0087581,<undefined>,-0.002011,-0.084906,-0.17601,<undefined>,-0.0091563,-0.26873,-0.15094,<undefined>,-0.15094,<undefined>,0.40566,<undefined>,-0.0013409,<undefined>,-0.15328,<undefined>,0.17925,-0.28302,-0.23585,<undefined>,-0.4434,0,-0.091102,<undefined>,-0.17925,0.051978,-0.15714,<undefined>,0.23747,0,-0.053367,<undefined>,-0.098039
famous,devprop,F09,D06,D,115,4607,TRUE,s004,<undefined>,<undefined>,<undefined>,<undefined>,-0.078316,0.034954,-0.0073814,<undefined>,-0.075461,-0.12353,-0.050923,<undefined>,-0.047895,-0.21176,-0.1842,<undefined>,-0.070588,-0.18723,-0.070588,<undefined>,-0.094118,-0.21765,-0.15781,<undefined>,<undefined>,0.11765,0.082353,<undefined>,-0.24118,-0.13529,-0.073443,<undefined>,-0.2,-0.27059,-0.27059,<undefined>,<undefined>,0.014792,-0.15294,<undefined>,<undefined>,0.04556,<undefined>,<undefined>,-0.34118,-0.25294,-0.22941,<undefined>,-0.18824,-0.13916,-0.28824,<undefined>,0.10606,-0.24605,-0.041176,<undefined>,-0.075461,-0.035294,-0.16471,<undefined>
famous,devprop,F09,D08,A,94,1579,TRUE,s005,<undefined>,0.07793,0.018868,-0.078316,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,0.34779,0.5,0.2069,<undefined>,0.057143,-0.023256,0.12121,<undefined>,-0.039892,0.17241,0.043357,<undefined>,-0.054175,-0.068966,-0.25521,<undefined>,-0.11771,-0.11392,-0.063003,<undefined>,0.31922,0.027027,0.10155,<undefined>,-0.13793,-0.17241,-0.27586,<undefined>,0.14608,-0.034483,-0.068966,<undefined>,-0.10677,<undefined>,-0.11904,<undefined>,-0.21822,-0.14926,-0.39655,<undefined>,0.14385,-0.25515,-0.15762,<undefined>,0.15517,0.12745,-0.048705,<undefined>,0.20462,0.090909,-0.044155
famous,devprop,F09,D08,B,75,5484,TRUE,s006,<undefined>,<undefined>,-0.044863,0.034954,<undefined>,<undefined>,<undefined>,<undefined>,-0.39082,<undefined>,-0.086957,-0.28882,0.11522,<undefined>,0.029039,-0.10776,-0.16475,<undefined>,-0.059783,-0.25264,-0.21646,<undefined>,-0.23447,0.059972,<undefined>,<undefined>,0.13169,-0.01087,-0.32609,<undefined>,0.044411,-0.0054348,-0.2191,<undefined>,-0.25543,-0.32065,<undefined>,<undefined>,-0.11413,-0.26785,<undefined>,<undefined>,<undefined>,-0.19456,-0.35326,<undefined>,-0.26537,-0.46739,-0.30946,<undefined>,-0.41645,-0.39208,0.26087,<undefined>,0.040841,-0.16629,-0.13664,<undefined>,-0.075154,0.19488
famous,devprop,F09,D08,C,13,3514,TRUE,s007,<undefined>,-0.074634,<undefined>,-0.0073814,<undefined>,<undefined>,<undefined>,<undefined>,-0.23944,0.0070423,<undefined>,-0.25694,0.17526,0.056338,<undefined>,-0.020919,-0.11951,-0.23581,<undefined>,-0.19014,-0.099593,-0.17606,<undefined>,-0.024254,<undefined>,0.038105,<undefined>,-0.0064103,-0.27465,0.021127,<undefined>,0.0086651,-0.23944,-0.26761,<undefined>,-0.32394,<undefined>,-0.0056267,<undefined>,-0.15493,<undefined>,0.23938,<undefined>,-0.13139,-0.30986,-0.26398,<undefined>,-0.45775,-0.18652,-0.098592,<undefined>,-0.20423,0.37124,-0.16781,<undefined>,-0.13701,0.010667,0.0024165,<undefined>,0.091964
famous,devprop,F09,D08,D,79,2017,TRUE,s008,<undefined>,-0.091855,-0.083009,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.19021,0.23684,0.21053,<undefined>,-0.063435,0.028573,0.013965,<undefined>,-0.22478,-0.18157,0.065789,<undefined>,-0.065789,-0.23684,-0.13758,<undefined>,<undefined>,0.081144,-0.033445,<undefined>,0.052632,0.18421,0.033088,<undefined>,-0.19737,-0.24548,-0.23458,<undefined>,<undefined>,0.021447,-0.10488,<undefined>,<undefined>,-0.062814,<undefined>,<undefined>,-0.19737,-0.15338,-0.10075,<undefined>,-0.29999,-0.0086428,-0.19511,<undefined>,0.039174,0,0.10791,<undefined>,0.14925,0.053019,0.15377,<undefined>
famous,devprop,F09,D13,A,16,1425,TRUE,s009,<undefined>,-0.060049,0.10539,-0.075461,<undefined>,-0.39082,-0.23944,-0.19021,<undefined>,<undefined>,<undefined>,<undefined>,<undefined>,-0.37752,-0.27839,0.015598,<undefined>,-0.21231,-0.36401,-0.051724,<undefined>,-0.18966,-0.02265,-0.20312,<undefined>,-0.15085,-0.14231,-0.068313,<undefined>,-0.3433,-0.37102,-0.32353,<undefined>,-0.58621,-0.55172,-0.55172,<undefined>,0.0125,-0.52214,-0.0024506,<undefined>,-0.33277,<undefined>,-0.038562,<undefined>,-0.25862,-0.32759,-0.39655,<undefined>,-0.016734,0.017241,-0.086207,<undefined>,-0.24087,-0.20298,0.37399,<undefined>,-0.3161,-0.33244,-0.28353
famous,devprop,F09,D13,B,51,1163,TRUE,s010,<undefined>,<undefined>,-0.16819,-0.12353,0.34779,<undefined>,0.0070423,0.23684,<undefined>,<undefined>,<undefined>,<undefined>,-0.0096791,<undefined>,0.14552,0.15411,-0.049201,<undefined>,0.64815,-0.12472,0.28053,<undefined>,0.14,-0.27083,<undefined>,<undefined>,-0.14557,-0.038462,0.16667,<undefined>,0.17568,-0.024708,-0.16082,<undefined>,-0.0625,-0.22917,<undefined>,<undefined>,0.25862,-0.12069,<undefined>,<undefined>,<undefined>,-0.1,-0.1732,<undefined>,-0.071997,-0.375,-0.26961,<undefined>,-0.17974,-0.086294,0.12069,<undefined>,0.26129,-0.21097,0.37879,<undefined>,0.43939,-0.061683
